prefix x y kind data filename
2d_  0.4000  0.3075 n_spots 0 2d_000002.img
2d_  0.4000  0.3075 total_integrated_signal 0 2d_000002.img
2d_  0.4000  0.3075 median_integrated_signal nan 2d_000002.img
2d_  0.3900  0.3075 n_spots 0 2d_000003.img
2d_  0.3900  0.3075 total_integrated_signal 0 2d_000003.img
2d_  0.3900  0.3075 median_integrated_signal nan 2d_000003.img
2d_  0.4100  0.3075 n_spots 0 2d_000001.img
2d_  0.4100  0.3075 total_integrated_signal 0 2d_000001.img
2d_  0.4100  0.3075 median_integrated_signal nan 2d_000001.img
2d_  0.3500  0.3075 n_spots 0 2d_000007.img
2d_  0.3500  0.3075 total_integrated_signal 0 2d_000007.img
2d_  0.3500  0.3075 median_integrated_signal nan 2d_000007.img
2d_  0.3800  0.3075 n_spots 0 2d_000004.img
2d_  0.3800  0.3075 total_integrated_signal 0 2d_000004.img
2d_  0.3800  0.3075 median_integrated_signal nan 2d_000004.img
2d_  0.3300  0.3075 n_spots 0 2d_000009.img
2d_  0.3300  0.3075 total_integrated_signal 0 2d_000009.img
2d_  0.3300  0.3075 median_integrated_signal nan 2d_000009.img
2d_  0.3700  0.3075 n_spots 0 2d_000005.img
2d_  0.3700  0.3075 total_integrated_signal 0 2d_000005.img
2d_  0.3700  0.3075 median_integrated_signal nan 2d_000005.img
2d_  0.3600  0.3075 n_spots 0 2d_000006.img
2d_  0.3600  0.3075 total_integrated_signal 0 2d_000006.img
2d_  0.3600  0.3075 median_integrated_signal nan 2d_000006.img
2d_  0.3400  0.3075 n_spots 0 2d_000008.img
2d_  0.3400  0.3075 total_integrated_signal 0 2d_000008.img
2d_  0.3400  0.3075 median_integrated_signal nan 2d_000008.img
2d_  0.3100  0.3075 n_spots 0 2d_000011.img
2d_  0.3100  0.3075 total_integrated_signal 0 2d_000011.img
2d_  0.3100  0.3075 median_integrated_signal nan 2d_000011.img
2d_  0.0900  0.3075 n_spots 0 2d_000033.img
2d_  0.0900  0.3075 total_integrated_signal 0 2d_000033.img
2d_  0.0900  0.3075 median_integrated_signal nan 2d_000033.img
2d_  0.3000  0.3075 n_spots 0 2d_000012.img
2d_  0.3000  0.3075 total_integrated_signal 0 2d_000012.img
2d_  0.3000  0.3075 median_integrated_signal nan 2d_000012.img
2d_  0.3200  0.3075 n_spots 0 2d_000010.img
2d_  0.3200  0.3075 total_integrated_signal 0 2d_000010.img
2d_  0.3200  0.3075 median_integrated_signal nan 2d_000010.img
2d_  0.2900  0.3075 n_spots 0 2d_000013.img
2d_  0.2900  0.3075 total_integrated_signal 0 2d_000013.img
2d_  0.2900  0.3075 median_integrated_signal nan 2d_000013.img
2d_  0.2600  0.3075 n_spots 0 2d_000016.img
2d_  0.2600  0.3075 total_integrated_signal 0 2d_000016.img
2d_  0.2600  0.3075 median_integrated_signal nan 2d_000016.img
2d_  0.0600  0.3075 n_spots 0 2d_000036.img
2d_  0.0600  0.3075 total_integrated_signal 0 2d_000036.img
2d_  0.0600  0.3075 median_integrated_signal nan 2d_000036.img
2d_  0.0400  0.3075 n_spots 0 2d_000038.img
2d_  0.0400  0.3075 total_integrated_signal 0 2d_000038.img
2d_  0.0400  0.3075 median_integrated_signal nan 2d_000038.img
2d_  0.0500  0.3075 n_spots 0 2d_000037.img
