/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.000000.ppm  -0.6458 TARGET X,Y = 177.0 227.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.010000.ppm  -0.6358 TARGET X,Y = 181.0 230.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.020000.ppm  -0.6258 TARGET X,Y = 185.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.030000.ppm  -0.6158 TARGET X,Y = 190.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.040000.ppm  -0.6058 TARGET X,Y = 193.0 226.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.050000.ppm  -0.5958 TARGET X,Y = 197.0 225.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.060000.ppm  -0.5858 TARGET X,Y = 200.0 227.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.070000.ppm  -0.5758 TARGET X,Y = 206.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.080000.ppm  -0.5658 TARGET X,Y = 208.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.090000.ppm  -0.5558 TARGET X,Y = 213.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.100000.ppm  -0.5458 TARGET X,Y = 217.0 227.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.110000.ppm  -0.5358 TARGET X,Y = 222.0 224.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.120000.ppm  -0.5258 TARGET X,Y = 225.0 231.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.130000.ppm  -0.5158 TARGET X,Y = 230.0 226.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.140000.ppm  -0.5058 TARGET X,Y = 231.0 232.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.150000.ppm  -0.4958 TARGET X,Y = 238.0 226.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.160000.ppm  -0.4858 TARGET X,Y = 240.0 225.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.170000.ppm  -0.4758 TARGET X,Y = 244.0 225.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.180000.ppm  -0.4658 TARGET X,Y = 251.0 223.0
/staff/bl32xu/BLsoft/NewZoo/TestScripts/TestImages//cap_0.190000.ppm  -0.4558 TARGET X,Y = 254.0 223.0
