/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.000000.ppm TARGET X,Y = 292.0 204.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.010000.ppm TARGET X,Y = 292.0 211.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.020000.ppm TARGET X,Y = 295.0 202.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.030000.ppm TARGET X,Y = 296.0 207.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.040000.ppm TARGET X,Y = 299.0 201.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.050000.ppm TARGET X,Y = 300.0 206.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.060000.ppm TARGET X,Y = 302.0 205.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.070000.ppm TARGET X,Y = 305.0 207.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.080000.ppm TARGET X,Y = 307.0 204.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.090000.ppm TARGET X,Y = 308.0 207.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.100000.ppm TARGET X,Y = 311.0 204.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.110000.ppm TARGET X,Y = 313.0 202.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.120000.ppm TARGET X,Y = 314.0 211.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.130000.ppm TARGET X,Y = 317.0 208.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.140000.ppm TARGET X,Y = 318.0 207.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.150000.ppm TARGET X,Y = 321.0 205.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.160000.ppm TARGET X,Y = 322.0 204.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.170000.ppm TARGET X,Y = 324.0 208.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.180000.ppm TARGET X,Y = 326.0 206.0
/isilon/BL32XU/BLsoft/PPPP/10.Zoo/TestImages//cap_0.190000.ppm TARGET X,Y = 329.0 204.0
