 0.00 deg    1.2430  -11.2332   -0.7846
10.00 deg    1.2173  -10.5066   -0.6390
20.00 deg    1.1896  -10.5470   -0.5629
30.00 deg    1.1463  -10.5428   -0.4880
40.00 deg    1.0907  -10.5469   -0.4217
50.00 deg    1.0266  -10.5455   -0.3679
60.00 deg    0.9541  -10.5468   -0.3260
70.00 deg    0.8728  -10.5481   -0.2964
80.00 deg    0.7903  -10.5467   -0.2818
90.00 deg    0.7094  -10.5508   -0.2818
100.00 deg    0.6269  -10.5494   -0.2963
110.00 deg    0.5482  -10.5535   -0.3249
120.00 deg    0.4709  -10.5548   -0.3695
130.00 deg    0.4025  -10.5561   -0.4268
140.00 deg    0.3523  -10.5547   -0.4866
150.00 deg    0.3188  -10.5560   -0.5445
160.00 deg    0.2920  -10.5546   -0.6178
170.00 deg    0.2779  -10.5532   -0.6974
180.00 deg    0.2779  -10.5545   -0.7699
190.00 deg    0.2914  -10.5558   -0.8468
200.00 deg    0.3181  -10.5571   -0.9201
210.00 deg    0.3529  -10.5557   -0.9804
220.00 deg    0.4048  -10.5570   -1.0423
230.00 deg    0.4582  -10.5556   -1.0871
240.00 deg    0.5185  -10.5542   -1.1219
250.00 deg    0.5892  -10.5555   -1.1476
260.00 deg    0.6551  -10.5568   -1.1592
270.00 deg    0.7304  -10.5554   -1.1592
280.00 deg    0.7990  -10.5540   -1.1470
290.00 deg    0.8671  -10.5526   -1.1221
300.00 deg    0.9274  -10.5512   -1.0872
310.00 deg    0.9765  -10.5553   -1.0459
320.00 deg    1.0231  -10.5539   -0.9903
330.00 deg    1.0593  -10.5525   -0.9274
340.00 deg    1.0821  -10.5538   -0.8644
350.00 deg    1.0932  -10.5524   -0.8012
360.00 deg    1.0932  -10.5510   -0.7370
370.00 deg    1.0825  -10.5551   -0.6765
380.00 deg    1.0605  -10.5537   -0.6162
390.00 deg    1.0312  -10.5550   -0.5654
400.00 deg    0.9899  -10.5563   -0.5162
410.00 deg    0.9428  -10.5576   -0.4767
420.00 deg    0.8896  -10.5589   -0.4460
430.00 deg    0.8345  -10.5602   -0.4259
440.00 deg    0.7768  -10.5615   -0.4157
450.00 deg    0.7154  -10.5601   -0.4157
460.00 deg    0.6549  -10.5587   -0.4263
470.00 deg    0.5998  -10.5600   -0.4463
480.00 deg    0.5466  -10.5613   -0.4769
490.00 deg    0.4974  -10.5626   -0.5181
500.00 deg    0.4633  -10.5639   -0.5586
510.00 deg    0.4354  -10.5652   -0.6069
520.00 deg    0.4153  -10.5665   -0.6619
530.00 deg    0.4060  -10.5651   -0.7140
540.00 deg    0.4060  -10.5664   -0.7642
550.00 deg    0.4161  -10.5677   -0.8218
560.00 deg    0.4351  -10.5663   -0.8742
570.00 deg    0.4615  -10.5649   -0.9200
580.00 deg    0.4937  -10.5662   -0.9584
590.00 deg    0.5364  -10.5648   -0.9942
600.00 deg    0.5798  -10.5634   -1.0193
610.00 deg    0.6269  -10.5647   -1.0364
620.00 deg    0.6735  -10.5633   -1.0446
630.00 deg    0.7264  -10.5619   -1.0446
640.00 deg    0.7785  -10.5632   -1.0353
650.00 deg    0.8230  -10.5618   -1.0190
660.00 deg    0.8664  -10.5604   -0.9938
670.00 deg    0.8984  -10.5617   -0.9669
680.00 deg    0.9360  -10.5630   -0.9220
690.00 deg    0.9638  -10.5616   -0.8736
700.00 deg    0.9790  -10.5602   -0.8316
710.00 deg    0.9862  -10.5588   -0.7903
