-720.00 deg   -0.2969  -10.6344   -0.7958
-710.00 deg   -0.2741  -10.6274   -0.9248
-700.00 deg   -0.2235  -10.6232   -1.0637
-690.00 deg   -0.1412  -10.6162   -1.2062
-680.00 deg   -0.0300  -10.6148   -1.3386
-670.00 deg    0.1003  -10.6161   -1.4479
-660.00 deg    0.2379  -10.6174   -1.5273
-650.00 deg    0.3872  -10.6187   -1.5816
-640.00 deg    0.5355  -10.6173   -1.6077
-630.00 deg    0.6861  -10.6159   -1.6077
-620.00 deg    0.8316  -10.6172   -1.5820
-610.00 deg    0.9652  -10.6185   -1.5333
-600.00 deg    1.0859  -10.6198   -1.4635
-590.00 deg    1.1884  -10.6211   -1.3774
-580.00 deg    1.2690  -10.6224   -1.2812
-570.00 deg    1.3373  -10.6182   -1.1628
-560.00 deg    1.3811  -10.6168   -1.0422
-550.00 deg    1.4028  -10.6126   -0.9185
-540.00 deg    1.4028  -10.6084   -0.7901
-530.00 deg    1.3824  -10.6070   -0.6747
-520.00 deg    1.3413  -10.6056   -0.5619
-510.00 deg    1.2827  -10.6042   -0.4604
-500.00 deg    1.2056  -10.6028   -0.3685
-490.00 deg    1.1244  -10.6041   -0.3003
-480.00 deg    1.0326  -10.6027   -0.2473
-470.00 deg    0.9356  -10.6013   -0.2120
-460.00 deg    0.8394  -10.5999   -0.1950
-450.00 deg    0.7445  -10.6012   -0.1950
-440.00 deg    0.6511  -10.5998   -0.2114
-430.00 deg    0.5646  -10.6011   -0.2428
-420.00 deg    0.4873  -10.6024   -0.2874
-410.00 deg    0.4167  -10.6037   -0.3465
-400.00 deg    0.3539  -10.6050   -0.4212
-390.00 deg    0.3092  -10.6036   -0.4984
-380.00 deg    0.2796  -10.6022   -0.5796
-370.00 deg    0.2645  -10.6008   -0.6647
-360.00 deg    0.2645  -10.5994   -0.7455
-350.00 deg    0.2790  -10.5980   -0.8279
-340.00 deg    0.3076  -10.5993   -0.9065
-330.00 deg    0.3466  -10.6006   -0.9741
-320.00 deg    0.3967  -10.6019   -1.0339
-310.00 deg    0.4543  -10.6005   -1.0823
-300.00 deg    0.5195  -10.6018   -1.1199
-290.00 deg    0.5876  -10.6031   -1.1447
-280.00 deg    0.6535  -10.6017   -1.1563
-270.00 deg    0.7232  -10.6030   -1.1562
-260.00 deg    0.7918  -10.6043   -1.1440
-250.00 deg    0.8520  -10.6084   -1.1220
-240.00 deg    0.9075  -10.6097   -1.0899
-230.00 deg    0.9523  -10.6083   -1.0522
-220.00 deg    0.9881  -10.6096   -1.0094
-210.00 deg    1.0201  -10.6082   -0.9538
-200.00 deg    1.0420  -10.6040   -0.8935
-190.00 deg    1.0531  -10.6026   -0.8303
-180.00 deg    1.0531  -10.6012   -0.7745
-170.00 deg    1.0429  -10.5998   -0.7168
-160.00 deg    1.0219  -10.5956   -0.6591
-150.00 deg    0.9940  -10.5942   -0.6107
-140.00 deg    0.9599  -10.5955   -0.5701
-130.00 deg    0.9193  -10.5941   -0.5360
-120.00 deg    0.8758  -10.5954   -0.5108
-110.00 deg    0.8260  -10.5940   -0.4926
-100.00 deg    0.7765  -10.5926   -0.4838
-90.00 deg    0.7290  -10.5912   -0.4838
-80.00 deg    0.6850  -10.5925   -0.4915
-70.00 deg    0.6430  -10.5911   -0.5067
-60.00 deg    0.6067  -10.5924   -0.5276
-50.00 deg    0.5703  -10.5937   -0.5580
-40.00 deg    0.5398  -10.5950   -0.5943
-30.00 deg    0.5188  -10.5936   -0.6305
-20.00 deg    0.5044  -10.5894   -0.6698
-10.00 deg    0.4976  -10.5880   -0.7082
 0.00 deg    0.4976  -10.5866   -0.7500
10.00 deg    0.5053  -10.5907   -0.7939
20.00 deg    0.5186  -10.5893   -0.8305
30.00 deg    0.5381  -10.5906   -0.8643
40.00 deg    0.5614  -10.5919   -0.8920
50.00 deg    0.5891  -10.5905   -0.9153
60.00 deg    0.6229  -10.5918   -0.9348
70.00 deg    0.6569  -10.5904   -0.9472
80.00 deg    0.6926  -10.5917   -0.9534
90.00 deg    0.7260  -10.5930   -0.9534
100.00 deg    0.7617  -10.5943   -0.9471
110.00 deg    0.7905  -10.5956   -0.9366
120.00 deg    0.8194  -10.5942   -0.9198
130.00 deg    0.8386  -10.5983   -0.9036
140.00 deg    0.8565  -10.5996   -0.8822
150.00 deg    0.8746  -10.5954   -0.8507
160.00 deg    0.8841  -10.5940   -0.8244
170.00 deg    0.8889  -10.5926   -0.7969
180.00 deg    0.8889  -10.5912   -0.7690
190.00 deg    0.8835  -10.5898   -0.7387
200.00 deg    0.8739  -10.5911   -0.7124
210.00 deg    0.8585  -10.5897   -0.6858
220.00 deg    0.8405  -10.5883   -0.6644
230.00 deg    0.8212  -10.5896   -0.6482
240.00 deg    0.7994  -10.5882   -0.6356
250.00 deg    0.7758  -10.5868   -0.6270
260.00 deg    0.7510  -10.5881   -0.6226
270.00 deg    0.7258  -10.5867   -0.6226
280.00 deg    0.7038  -10.5853   -0.6264
290.00 deg    0.6828  -10.5866   -0.6340
300.00 deg    0.6634  -10.5852   -0.6451
310.00 deg    0.6441  -10.5838   -0.6612
320.00 deg    0.6297  -10.5851   -0.6782
330.00 deg    0.6227  -10.5837   -0.6902
340.00 deg    0.6160  -10.5823   -0.7085
350.00 deg    0.6126  -10.5836   -0.7277
360.00 deg    0.6126  -10.5849   -0.7500
370.00 deg    0.6159  -10.5835   -0.7692
380.00 deg    0.6235  -10.5848   -0.7901
390.00 deg    0.6332  -10.5834   -0.8070
400.00 deg    0.6457  -10.5847   -0.8219
410.00 deg    0.6606  -10.5860   -0.8344
420.00 deg    0.6750  -10.5846   -0.8427
430.00 deg    0.6933  -10.5859   -0.8493
440.00 deg    0.7097  -10.5845   -0.8522
450.00 deg    0.7264  -10.5831   -0.8522
460.00 deg    0.7428  -10.5844   -0.8492
470.00 deg    0.7585  -10.5857   -0.8434
480.00 deg    0.7729  -10.5898   -0.8350
490.00 deg    0.7771  -10.5884   -0.8314
500.00 deg    0.7860  -10.5897   -0.8207
510.00 deg    0.7957  -10.5883   -0.8037
520.00 deg    0.7995  -10.5896   -0.7932
530.00 deg    0.8019  -10.5882   -0.7794
540.00 deg    0.8018  -10.5868   -0.7654
550.00 deg    0.7993  -10.5881   -0.7516
560.00 deg    0.7945  -10.5867   -0.7384
570.00 deg    0.7875  -10.5880   -0.7263
580.00 deg    0.7785  -10.5866   -0.7156
590.00 deg    0.7678  -10.5824   -0.7066
600.00 deg    0.7581  -10.5837   -0.7010
610.00 deg    0.7476  -10.5850   -0.6971
620.00 deg    0.7393  -10.5836   -0.6956
630.00 deg    0.7253  -10.5822   -0.6956
640.00 deg    0.7143  -10.5808   -0.6975
650.00 deg    0.7064  -10.5821   -0.7003
660.00 deg    0.6967  -10.5807   -0.7058
670.00 deg    0.6881  -10.5793   -0.7129
680.00 deg    0.6827  -10.5806   -0.7193
690.00 deg    0.6799  -10.5792   -0.7241
700.00 deg    0.6779  -10.5805   -0.7293
710.00 deg    0.6764  -10.5791   -0.7375
